OFFER,RETAILER,BRAND,BRAND_BELONGS_TO_CATEGORY,OFFER_clean,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,IS_CHILD_CATEGORY_TO_compli,training_str
"Back to the Roots Dry Plant Food, 5 pounds, at The Home Depot",THE HOME DEPOT,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS THE HOME DEPOT PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Garden Soil, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS LOWES HOME IMPROVEMENT PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Raised Bed Gardening Kit with Soil, Seeds and Plant Food, at Target",TARGET,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS TARGET PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
Back to the Roots Microgreens Grow Kit OR Seed Refill at Walmart,WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS LOWES HOME IMPROVEMENT PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS LOWES HOME IMPROVEMENT PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
Back to the Roots Grow Kits at Walmart or The Home Depot,WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Seeds, at Walmart",WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Organic Kits and Planters, at Target",TARGET,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS TARGET PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS LOWES HOME IMPROVEMENT PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",TARGET,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS TARGET PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Back to the Roots Soils, select varieties, at Walmart",WALMART,BACK TO THE ROOTS,PACKAGED MEALS & SIDES,,PACKAGED MEALS & SIDES,PANTRY,,"  BACK TO THE ROOTS WALMART PACKAGED MEALS & SIDES, PACKAGED MEALS & SIDES"
"Welch's®Fruit Snacks, select varieties, buy 2",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Zero Sugar Fruity Bites, 6 pack+, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS AMAZON FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 3",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Fruit Snacks, 250 count, online at Amazon",AMAZON,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS AMAZON FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Juicefuls® Juicy Fruit Snacks, 14 count, at Target",TARGET,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS TARGET FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Fruit Snacks, select varieties, 6 count+, buy 2",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's®Fruit Snacks, spend $8",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Fruit 'n Yogurt® Snacks, 18 count, at Walmart",WALMART,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS WALMART FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Fruit Snacks, select varieties, 6 count+",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",,WELCHS FRUIT SNACKS,FRUIT & VEGETABLE SNACKS,,FRUIT & VEGETABLE SNACKS,SNACKS,,"  WELCHS FRUIT SNACKS   FRUIT & VEGETABLE SNACKS, FRUIT & VEGETABLE SNACKS"
Sign up for The Club Card or The Club+ Card full-priced membership* (New Members Only),BJS WHOLESALE,BJS WHOLESALE,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  BJS WHOLESALE BJS WHOLESALE COOKING & BAKING, COOKING & BAKING"
"Ben & Jerry's Frozen Creme Brulee Non Dairy Dessert, 16 ounce",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's® Doggie Desserts, 4 count",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's Frozen Sugar Cookie Dough Chunks, 8 ounce",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's®, select varieties",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's®, select varieties, spend $12",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's® Doggie Desserts, 4 ounce, buy 2",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
Ben & Jerry's® Churray For Churros™ Ice Cream,,BEN AND JERRYS,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  BEN AND JERRYS   FROZEN DESSERTS, FROZEN"
"Purex® laundry detergent, select varieties, at Walmart",WALMART,PUREX,LAUNDRY SUPPLIES,,LAUNDRY SUPPLIES,HOUSEHOLD SUPPLIES,HOUSEHOLD SUPPLIES,"  PUREX WALMART LAUNDRY SUPPLIES, HOUSEHOLD SUPPLIES"
Shop 2 times at Safeway,SAFEWAY,SAFEWAY,CANDY,,CANDY,SNACKS,,"  SAFEWAY SAFEWAY CANDY, CANDY"
Spend $210 at Safeway,SAFEWAY,SAFEWAY,CANDY,,CANDY,SNACKS,,"  SAFEWAY SAFEWAY CANDY, CANDY"
Any Safeway receipt,SAFEWAY,SAFEWAY,CANDY,,CANDY,SNACKS,,"  SAFEWAY SAFEWAY CANDY, CANDY"
Spend $115 at Safeway,SAFEWAY,SAFEWAY,CANDY,,CANDY,SNACKS,,"  SAFEWAY SAFEWAY CANDY, CANDY"
Spend $90 at Safeway,SAFEWAY,SAFEWAY,CANDY,,CANDY,SNACKS,,"  SAFEWAY SAFEWAY CANDY, CANDY"
Sol® 6 pack+,,SOL CERVEZA,BEER,,BEER,ALCOHOL,,"  SOL CERVEZA   BEER, BEER"
"Sargento Sliced Cheese, spend $25",,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
"Sargento Sliced Cheese, spend $12",,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
"Sargento® products, select varieties",,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
"Sargento® products, select varieties, buy 3",,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
"Sargento Sliced Cheese, spend $18",,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
Sargento Product,,SARGENTO,CHEESE,,CHEESE,DAIRY,DAIRY,"  SARGENTO   CHEESE, DAIRY"
Country Crock® Plant Based Butter at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,,"  COUNTRY CROCK PLANT BUTTER WALMART NUT BUTTERS & JAM, NUT BUTTERS & JAM"
Country Crock® Plant Based Cream at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,NUT BUTTERS & JAM,,NUT BUTTERS & JAM,PANTRY,,"  COUNTRY CROCK PLANT BUTTER WALMART NUT BUTTERS & JAM, NUT BUTTERS & JAM"
AleveX™ at Walmart,WALMART,ALEVE,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ALEVE WALMART MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Aleve® products, select varieties, 80 count+ at Walmart",WALMART,ALEVE,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ALEVE WALMART MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Aleve® products AND AleveX™, select varieties, at Walmart",WALMART,ALEVE,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ALEVE WALMART MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",,MAGNUM ICE CREAM,FROZEN DESSERTS,,FROZEN DESSERTS,FROZEN,FROZEN,"  MAGNUM ICE CREAM   FROZEN DESSERTS, FROZEN"
LIFE SAVERS®,,LIFESAVERS,CANDY,,CANDY,SNACKS,,"  LIFESAVERS   CANDY, CANDY"
"LIFESAVERS®, any size, buy 1",,LIFESAVERS,CANDY,,CANDY,SNACKS,,"  LIFESAVERS   CANDY, CANDY"
"RESPAWN® by 5® GUM, at Walmart",WALMART,5 GUM,GUM,,GUM,CANDY,SNACKS,"  5 GUM WALMART GUM, SNACKS"
Wesson® Oil Products,,WESSON,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  WESSON   COOKING & BAKING, COOKING & BAKING"
"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,PREPARED MEALS,,PREPARED MEALS,DELI & BAKERY,,"  BUBBIES SPROUTS FARMERS MARKET PREPARED MEALS, PREPARED MEALS"
"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,PREPARED MEALS,,PREPARED MEALS,DELI & BAKERY,,"  BUBBIES SPROUTS FARMERS MARKET PREPARED MEALS, PREPARED MEALS"
Spend $155 at Pavilions,PAVILIONS,PAVILIONS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  PAVILIONS PAVILIONS COOKING & BAKING, COOKING & BAKING"
Shop 2 times at Pavilions,PAVILIONS,PAVILIONS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  PAVILIONS PAVILIONS COOKING & BAKING, COOKING & BAKING"
Spend $100 at Pavilions,PAVILIONS,PAVILIONS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  PAVILIONS PAVILIONS COOKING & BAKING, COOKING & BAKING"
Any Pavilions receipt,PAVILIONS,PAVILIONS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  PAVILIONS PAVILIONS COOKING & BAKING, COOKING & BAKING"
Spend $270 at Pavilions,PAVILIONS,PAVILIONS,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  PAVILIONS PAVILIONS COOKING & BAKING, COOKING & BAKING"
Spend $90 at Star Market,STAR MARKET,STAR MARKET,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  STAR MARKET STAR MARKET COOKING & BAKING, COOKING & BAKING"
Shop 2 times at Star Market,STAR MARKET,STAR MARKET,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  STAR MARKET STAR MARKET COOKING & BAKING, COOKING & BAKING"
Spend $120 at Star Market,STAR MARKET,STAR MARKET,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  STAR MARKET STAR MARKET COOKING & BAKING, COOKING & BAKING"
Spend $220 at Star Market,STAR MARKET,STAR MARKET,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  STAR MARKET STAR MARKET COOKING & BAKING, COOKING & BAKING"
Any Star Market receipt,STAR MARKET,STAR MARKET,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  STAR MARKET STAR MARKET COOKING & BAKING, COOKING & BAKING"
"SNICKERS®, select sizes, buy 1",,SNICKERS,CANDY,,CANDY,SNACKS,,"  SNICKERS   CANDY, CANDY"
"SNICKERS® chocolate candy bar, select varieties",,SNICKERS,CANDY,,CANDY,SNACKS,,"  SNICKERS   CANDY, CANDY"
"Kodiak® products, select varieties, spend $10",,KODIAK CAKES FLAPJACK & WAFFLE MIX,"CEREAL, GRANOLA, & TOASTER PASTRIES",,"CEREAL, GRANOLA, & TOASTER PASTRIES",PANTRY,,"  KODIAK CAKES FLAPJACK   WAFFLE MIX   CEREAL, GRANOLA, & TOASTER PASTRIES, CEREAL, GRANOLA, & TOASTER PASTRIES"
Bays® English Muffins,,BAYS,BREAD,,BREAD,PANTRY,,"  BAYS   BREAD, BREAD"
"Super Coffee, 12 ounce single serve, buy 3",,SUPER COFFEE,COFFEE,,COFFEE,BEVERAGES,,"  SUPER COFFEE   COFFEE, COFFEE"
"Super Coffee, 12 ounce single serve",,SUPER COFFEE,COFFEE,,COFFEE,BEVERAGES,,"  SUPER COFFEE   COFFEE, COFFEE"
Blue Apron Meal Kits,BLUE APRON,BLUE APRON,COOKING & BAKING,,COOKING & BAKING,PANTRY,,"  BLUE APRON BLUE APRON COOKING & BAKING, COOKING & BAKING"
"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ASTEPRO DOLLAR GENERAL STORE MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
"Adult Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,MEDICINES & TREATMENTS,,MEDICINES & TREATMENTS,HEALTH & WELLNESS,,"  ASTEPRO DOLLAR GENERAL STORE MEDICINES & TREATMENTS, MEDICINES & TREATMENTS"
NatuChips® Plantain Chips,,NATUCHIPS,CHIPS,,CHIPS,SNACKS,,"  NATUCHIPS   CHIPS, CHIPS"
"Promised Land Dairy Milk, 52-ounce",,PROMISED LAND DAIRY,MILK,,MILK,DAIRY,DAIRY,"  PROMISED LAND DAIRY   MILK, DAIRY"
"CORE® Hydration, select varieties, at Walmart",WALMART,CORE HYDRATION,WATER,,WATER,BEVERAGES,,"  CORE HYDRATION WALMART WATER, WATER"
